City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
278,Mao,ES,39.8885,4.2658,59.0,94,0,2.3,clear sky
279,Caravelas,BR,-17.7125,-39.2481,74.14,77,84,13.82,broken clouds
280,Lebu,CL,-37.6167,-73.65,56.41,90,100,22.79,light rain
281,Clyde River,CA,70.4692,-68.5914,23.0,100,90,5.75,fog
282,Tiznit,MA,29.5833,-9.5,53.94,75,39,8.39,scattered clouds
283,Mabaruma,GY,8.2,-59.7833,75.16,89,49,3.8,scattered clouds
284,Jiayuguan,CN,39.8167,98.3,61.7,11,100,5.35,overcast clouds
285,Pizarro,CO,4.9533,-77.366,77.16,86,100,5.93,overcast clouds
286,Mandapam,IN,9.2833,79.1167,84.36,74,49,8.55,scattered clouds
287,Charters Towers,AU,-20.1,146.2667,70.25,68,32,10.74,scattered clouds
288,Vostok,RU,46.4856,135.8833,45.07,55,0,3.87,clear sky
289,Sur,OM,22.5667,59.5289,83.82,43,69,4.36,broken clouds
290,Altay,CN,47.8667,88.1167,58.8,39,96,1.12,overcast clouds
291,Esperance,AU,-33.8667,121.9,51.8,100,90,4.61,overcast clouds
292,Nyrob,RU,60.733,56.7202,34.27,75,90,9.48,overcast clouds
293,Paso De Los Toros,UY,-32.8167,-56.5167,61.75,64,34,8.81,scattered clouds
294,Gore,NZ,-46.1028,168.9436,50.0,85,87,4.0,overcast clouds
295,Narrabri,AU,-30.3167,149.7833,66.0,67,90,11.5,overcast clouds
296,Galway,IE,53.2719,-9.0489,44.6,76,75,4.61,broken clouds
297,Hammond,US,41.5834,-87.5,48.99,49,1,9.22,clear sky
298,Krasnoselkup,RU,65.7,82.4667,31.39,92,100,12.77,overcast clouds
299,Mugur-Aksy,RU,50.35,90.5,41.23,70,78,4.85,broken clouds
300,Port Jervis,US,41.3751,-74.6927,53.01,43,17,3.0,few clouds
301,Inuvik,CA,68.3499,-133.7218,33.8,69,100,6.91,overcast clouds
302,Sulina,RO,45.1559,29.6536,58.35,85,63,8.16,broken clouds
303,Oyama,JP,36.3,139.8,69.01,82,75,4.61,broken clouds
304,Valparaiso,CL,-33.0393,-71.6273,57.99,88,0,3.44,clear sky
305,Lagoa,PT,39.05,-27.9833,59.0,69,100,7.87,overcast clouds
306,Dukat,RU,62.55,155.55,26.83,83,98,4.27,overcast clouds
307,Kruisfontein,ZA,-34.0033,24.7314,52.65,70,0,6.64,clear sky
308,Sarakhs,IR,36.5449,61.1577,68.0,73,100,4.61,overcast clouds
309,Doka,SD,13.5167,35.7667,88.39,28,53,0.27,broken clouds
310,Mae Hong Son,TH,19.3003,97.9685,72.48,93,41,1.01,scattered clouds
311,Faya,SA,18.3851,42.4509,64.4,42,20,5.75,few clouds
312,Saint-Joseph,RE,-21.3667,55.6167,75.2,78,0,3.44,clear sky
313,Taltal,CL,-25.4,-70.4833,64.42,78,100,4.76,overcast clouds
314,Manuk Mangkaw,PH,4.8,119.85,84.06,68,97,6.22,overcast clouds
315,Lahti,RU,59.9911,30.1597,33.8,75,0,2.24,clear sky
316,Ribeira Brava,PT,32.65,-17.0667,59.0,78,83,3.0,broken clouds
317,Simbahan,PH,6.3032,120.5836,83.28,73,68,6.24,broken clouds
318,Sao Filipe,CV,14.8961,-24.4956,72.75,76,32,11.61,scattered clouds
319,Aykhal,RU,66.0,111.5,30.43,95,100,9.8,overcast clouds
320,Acapulco,MX,16.8634,-99.8901,86.0,70,20,6.91,few clouds
321,Santarem,BR,-2.4431,-54.7083,73.4,94,40,4.61,scattered clouds
322,Hasaki,JP,35.7333,140.8333,66.0,77,40,4.61,scattered clouds
323,Kismayo,SO,-0.3582,42.5454,81.45,79,37,10.98,scattered clouds
324,Lancaster,US,40.2504,-76.2499,57.2,33,75,19.57,broken clouds
325,Lethem,GY,3.3803,-59.7968,79.38,76,55,8.57,broken clouds
326,Milkovo,RU,54.7167,158.6167,40.1,82,82,1.34,broken clouds
327,Aksu,CN,41.1231,80.2644,65.62,15,0,0.87,clear sky
328,Muromtsevo,RU,56.3724,75.2418,40.05,79,96,9.26,overcast clouds
